movie_title,year
Cat People ,1982.0
Once Upon a Time in Queens ,2021.0
The Next Best Thing ,2000.0
Underworld: Evolution ,2006.0
Somewhere in Time ,1980.0
Sorority Row ,2009.0
Closer to the Moon ,2014.0
My Soul to Take ,2010.0
Insidious: Chapter 2 ,2013.0
The Boy in the Striped Pajamas ,2008.0
The Sweetest Thing ,2002.0
Mutant World ,2014.0
Saw II ,2005.0
Oscar and Lucinda ,1997.0
#Horror ,2011.0
The Girl Next Door ,2004.0
Charlie St. Cloud ,2010.0
Jackass: The Movie ,2002.0
The Funeral ,1996.0
Chicken Run ,2000.0
Maximum Risk ,1996.0
Wind Walkers ,2015.0
Paranormal Activity 3 ,2011.0
Solitary Man ,2009.0
Boomerang ,1992.0
Ouija ,2014.0
Stealing Harvard ,2002.0
Snow White and the Seven Dwarfs ,1937.0
The Land Before Time ,1988.0
A Nightmare on Elm Street 3: Dream Warriors ,1987.0
Shark Night 3D ,2011.0
The Holy Girl ,2004.0
Tae Guk Gi: The Brotherhood of War ,2004.0
The Heat ,2013.0
The Gift ,2015.0
Shalako ,1968.0
The Perfect Game ,2009.0
Instructions Not Included ,2013.0
The Mothman Prophecies ,2002.0
Angela's Ashes ,1999.0
The Golden Child ,1986.0
Incident at Loch Ness ,2004.0
Paranormal Activity 4 ,2012.0
Lifeforce ,1985.0
Think Like a Man ,2012.0
Brüno ,
The Robe ,1953.0
The 33 ,2015.0
The Dog Lover ,2016.0
Barbershop ,2002.0
Licence to Kill ,1989.0
"20,000 Leagues Under the Sea ",1954.0
Girl House ,2014.0
Big Trouble in Little China ,1986.0
Ace Ventura: Pet Detective ,1994.0
One for the Money ,2012.0
Paranormal Activity: The Marked Ones ,2014.0
House at the End of the Drive ,2014.0
Act of Valor ,2012.0
A Perfect Plan ,2012.0
The Warrior's Way ,2010.0
Oculus ,2013.0
Batman: The Movie ,2017.0
Harold & Kumar Escape from Guantanamo Bay ,2008.0
Clerks II ,2006.0
Micmacs ,2009.0
