model,mse,mape,r2,timestamp
Lasso,275207558296031.1,12.921877737547884,-0.24794766459270373,2024-04-21 14:10
LinearRegression,275386380027305.8,12.974665279511559,-0.25785465945527025,2024-04-21 14:10
RandomForestRegressor,287989025656437.9,12.924567064963947,-0.28579112800713646,2024-04-21 14:10
MLPRegressor,308845337039716.4,1.207214858279881,-0.03814024314245423,2024-04-21 14:10
SVR,316586622801692.6,4.2856248323641335,-0.13696944454594137,2024-04-21 14:10
DummyRegressor,318035618934770.06,1.5189597343723302,-0.0529823411684923,2024-04-21 14:10
XGBRegressor,339885615897320.0,15.18359620287713,-0.6301222814365569,2024-04-21 14:10
KNeighborsRegressor,374055801408473.06,11.183688224045818,-0.4892129653484827,2024-04-21 14:10
